"ngram","fc","rc"
"spokesperson·for·the·",24,28
"spokeswoman·for·",0,74
"stability·and·",55,20
"stable·condition·",0,18
"staff·in·",82,20
"staff·were·",16,24
"stage·of·",101,0
"stand·in·the·",34,0
"standards·for·",19,16
"standards·in·",38,0
"start·of·",0,118
"start·to·",212,18
"start·working·",13,0
"started·to·",79,46
"state·that·",48,14
"state·to·",23,0
"stated·that·the·",16,18
"statement·from·",31,34
"statement·on·",55,24
"statements·by·",0,14
"states·and·",32,0
"states·to·",42,14
"station·on·101·",0,16
"status·for·",55,28
"status·in·",29,24
"Steel·Times·",0,86
"step·towards·",23,0
"STEVE·HAWKES·",78,0
"sticking·to·",19,0
"still·a·",132,34
"still·be·able·",22,0
"still·on·the·",15,0
"Stoke·The·",62,0
"story·of·",64,40
"strategic·and·",0,14
"strategy·for·",64,46
"strategy·of·",0,56
"strategy·to·",58,130
"STREET·GLASGOW·G4·OJY·0141·332·",49,0
"strength·and·",0,34
"strength·of·our·",0,24
"strength·of·the·",36,24
"strengthening·its·",0,18
"stressed·the·need·",26,0
"string·of·",73,38
"Stroud·News·",16,20
"Stroud·News·and·",0,20
"struggle·with·",14,16
"struggled·to·",36,16
"studies·of·the·",0,18
"study·design·",0,18
"Sturgeon·has·",199,0
"submitted·by·",15,62
"success·and·",29,22
"such·an·important·",0,16
"such·as·a·",35,18
"such·as·those·",13,16
"suggest·that·",188,72
"suggested·a·",41,0
"suggested·the·",128,18
"Sun·POLICE·",0,14
"Sunday·Telegraph·",106,40
"Sunday·Telegraph·(London)·",0,40
"supervisory·board·",0,20
"Supplied·by·BBC·",88,26
"support·the·UK·",15,0
"support·their·",13,20
"supporters·who·",22,0
"supposed·to·be·",46,0
"sure·you'll·be·among·the·first·to·know·what's·",0,18
"surrounding·the·",74,0
"survey·has·",36,14
"Swedish·Orphan·Biovitrum·",0,26
"system·in·",35,50
"system·of·",0,24
"system·that·",86,42
"table·and·",41,14
"tackling·the·",19,18
"Taiho·Pharma·",0,18
"take·a·",373,144
"take·advantage·",108,0
"take·advantage·",0,22
"take·advantage·of·",101,18
"take·advantage·of·the·",29,0
"take·all·",15,0
"take·in·",22,14
"take·place·",230,180
"take·place·on·",0,30
"take·the·",292,84
"take·years·",17,0
"taken·by·air·ambulance·",0,16
"taken·by·the·",37,16
"taken·in·",34,76
"taken·over·",29,0
"takeover·of·",29,30
"taking·on·",37,24
"talk·on·",16,0
"talks·between·the·UK·",18,0
"talks·with·",430,30
"target·for·",31,48
"team·are·",18,20
"team·have·",21,18
"team·will·",30,50
"technologies·and·",0,36
"Telegraph·Media·Group·",594,250
"Telegraph·Media·Group·Limited·",594,250
"tens·of·",138,26
"terms·of·the·accord·",0,26
"Teva·has·",0,24
"Teva·Pharmaceutical·Industries·(NYSE:·TEVA)·",0,16
"than·100·",72,36
"than·30·",38,80
"than·40·",28,36
"than·any·other·",58,16
"than·five·",26,16
"than·four·",28,26
"than·its·",24,22
"than·people·",16,0
"thanks·to·",219,134
"that·as·",56,18
"that·banks·",13,0
"that·both·",81,44
"that·Britain·",468,0
"that·businesses·",55,0
"that·could·",389,264
"that·could·be·",85,40
"that·do·",34,14
"that·do·",34,0
"that·doesn't·",0,14
"that·during·the·",14,0
"that·everyone·",31,0
"that·farmers·",28,0
"that·figure·",14,14
"that·had·been·",26,20
"that·he·",1046,218
"that·he·had·",106,20
"that·her·",148,22
"that·his·",174,36
"that·I·",335,62
"that·if·",56,20
"that·if·there·",31,0
"that·is·",1386,468
"that·it·expects·",0,18
"that·it·is·",348,130
"that·make·",36,30
"that·Mr·",228,0
"that·no·",188,62
"that·no·one·",29,14
"that·not·",52,22
"that·one·",101,44
"that·our·",274,104
"that·over·",34,18
"that·so·",36,18
"that·support·",34,24
"that·the·Bill·",16,0
"that·the·cost·",13,0
"that·the·Government's·",20,0
"that·their·",156,54
"that·there·will·",104,14
"that·they·have·",98,30
"that·they·would·",74,0
"that·this·will·",34,14
"that·under·the·",15,0
"that·we·have·",239,64
"that·when·",19,0
"that·with·",77,20
"that·work·",22,16
"that·you·",201,368
"That's·why·",68,0
"the·12·months·",0,22
"the·18th·",16,0
"the·ability·",169,116
"the·ability·of·",40,40
"the·absence·",97,40
"the·actions·",27,14
"the·actions·of·",19,0
"the·addition·of·",0,70
"the·age·",58,80
"the·age·of·",48,76
"the·air·",31,68
"the·alleged·",16,50
"the·already·",18,14
"the·amazing·",14,14
"the·ambulance·",0,86
"The·analysis·",24,36
"The·Andrew·",56,0
"The·annual·",21,24
"the·appeal·",25,54
"The·approval·is·based·",0,16
"the·area·to·",0,18
"The·Argus·",41,142
"The·Argus·(Newsquest·",28,140
"The·Argus·(Newsquest·Regional·",28,140
"the·Australian·",26,78
"the·availability·of·",26,58
"the·average·",156,104
"the·ball·",39,26
"the·Bank·",504,14
"the·basis·of·",110,0
"the·BBC·Radio·",16,0
"the·beginning·of·",98,58
"the·beginning·of·",98,0
"the·beginning·of·the·",39,18
"the·best·in·",0,14
"the·best·interests·of·",53,16
"the·best·possible·outcome·",16,0
"The·bill·",27,18
"the·book·",27,18
"the·border·",578,0
"the·border·between·",49,0
"the·bottom·of·",30,24
"the·brand·name·",0,60
"the·Brexit·result·",24,0
"the·Brexit·vote.·",273,0
"the·British·",1806,116
"The·British·",210,0
"the·broad·",15,18
"the·building·",40,64
"the·business·",362,102
"the·business·",28,20
"the·Cabinet·",24,0
"the·capacity·",35,16
"the·care·",22,78
"the·care·of·",0,52
"the·case·",428,188
"the·case·",54,14
"the·centre-right·",14,0
"the·changing·",28,16
"the·charity·",21,76
"The·Chichester·Observer·-·always·the·",0,22
"the·chief·executive·",62,26
"The·chief·executive·of·",22,0
"the·choice·of·",28,0
"the·Christmas·",32,34
"the·circumstances·",19,44
"the·citizens·",13,0
"the·claims·",41,16
"The·clinical·",0,36
"the·clock·to·",13,0
"the·close·",24,30
"the·closing·of·the·",0,26
"the·coast·",0,16
"the·collaboration·",0,44
"the·commitment·",32,20
"The·companies·are·",0,22
"the·companies'·",0,28
"The·company·",31,36
"The·company·also·",14,64
"the·company·said·",20,26
"the·company·to·",19,106
"the·company's·",121,1022
"the·comparative·",0,26
"the·conference·",80,20
"the·contribution·",23,14
"the·corporate·",17,22
"the·correct·",32,26
"The·cost·",28,32
"the·cost·",392,194
"The·cost·",0,32
"The·cost·of·",24,18
"the·council·",108,58
"the·country.·",37,0
"The·County·Times·-·always·",0,14
"The·crash·involved·",0,18
"the·Daily·",162,14
"the·Daily·Express·",21,0
"the·date·",85,0
"the·date·of·",38,16
"the·day·",484,150
"The·deal·",44,90
"the·deal·was·",45,14
"the·decision·to·leave·the·",56,0
"the·decline·",38,22
"the·delivery·",29,38
"the·delivery·",29,0
"the·Department·",224,108
"the·deputy·",16,0
"the·design·",0,14
"the·detailed·",16,0
"the·district·",16,22
"the·drug·can·",0,14
"the·earliest·",21,18
"the·early·hours·",15,154
"the·early·hours·of·this·",0,18
"the·East·",92,30
"The·EC·",0,22
"the·economy·",763,24
"the·economy·",134,0
"the·Editor·will·award·",25,0
"the·elderly·",23,18
"the·elderly·",0,18
"The·EMA's·",0,16
"the·emergence·",0,30
"the·emergency·",13,40
"The·emergency·",0,16
"the·end·of·",1152,490
"the·entire·",134,98
"the·EU.·It·",57,0
"the·EU·",1795,36
"the·EU·",9865,146
"the·EU·and·",870,30
"the·EU·could·be·",23,0
"the·EU·referendum·has·",13,0
"the·EU·single·market.·",21,0
"the·EU·than·",44,0
"the·EU·under·",23,0
"the·EU·which·",61,0
"the·EU·while·",18,0
"the·EU·would·be·",73,0
"the·European·",4879,1254
"The·European·Commission·",39,0
"The·European·Commission·has·granted·marketing·",0,14
"the·European·Commission's·",38,18
"the·European·Court·",189,0
"the·European·Union·",1358,174
"the·European·Union·and·",30,0
"the·European·Union·for·",13,14
"the·European·Union·for·",0,14
"the·event·",0,32
"the·exact·",53,40
"the·example·of·",0,16
"the·excellent·",13,14
"the·exception·of·",18,18
"the·exclusive·right·",0,20
"the·Executive·",19,0
"the·executive·",21,0
"the·executive·board·",0,38
"the·expansion·of·",0,36
"the·expense·of·",0,28
"the·extreme·",38,0
"the·face.·",0,22
"the·face·",167,86
"the·fact·that·the·",74,26
"the·failure·",63,32
"the·failure·of·",31,26
"the·fall·in·the·value·of·the·",16,0
"the·FDA·in·",0,82
"the·festive·",15,18
"the·fight·",61,58
"the·figure·",0,18
"the·figures·",76,14
"The·final·",0,36
"The·findings·",49,32
"the·First·",228,14
"The·first·",143,132
"the·first·and·",0,136
"the·first·in·",15,18
"the·first·six·",44,28
"the·first·six·months·",40,26
"the·first·three·",28,20
"the·first·time·",20,30
"the·first·to·know·",16,300
"the·fiscal·",22,16
"the·flu·",0,14
"the·forecast·",17,124
"the·formation·",20,32
"the·four·",96,56
"the·French·",244,80
"the·front·of·the·",14,40
"the·future·",1124,142
"the·future·",1124,0
"the·generation·of·",0,18
"the·German·",175,92
"the·Global·",0,44
"the·global·financial·",17,0
"the·globe·",0,124
"the·government·",1401,190
"THE·Government·",39,0
"the·Government·",1982,0
"the·government·in·",31,0
"the·government·will·",0,14
"the·Great·",84,46
"the·ground.·",16,26
"the·growth·",101,88
"The·Guardian·",154,22
"The·Guardian·a·",371,36
"The·Guardian·a·division·of·Transcontinental·",371,36
"The·Guardian·a·division·of·Transcontinental·Media·Group·",371,36
"the·Health·and·",0,22
"the·help·of·",21,36
"The·Herald·",552,148
"The·Herald·(Glasgow)·",531,140
"the·High·Court·",93,42
"the·high·street·",22,14
"the·home·",54,60
"the·Home·Office·",71,0
"the·idea·",323,20
"the·ideal·",14,24
"The·impact·of·",28,0
"the·important·",36,38
"the·important·",0,38
"the·incident·",24,756
"the·incident·",24,0
"the·incident·",0,196
"the·incident·or·has·",0,14
"the·incident·which·",0,40
"the·independent·",28,142
"the·industry·",328,196
"The·initial·",0,32
"the·initiative·",27,16
"the·intelligence·",13,0
"the·International·",111,0
"the·International·Trade·",30,0
"the·Israeli·",0,36
"the·issue·",463,0
"the·Japanese·Ministry·of·",0,14
"the·job·",137,30
"the·joint·",43,48
"The·Journal·",233,124
"the·junction·",0,310
"the·key·",261,140
"the·label·",0,42
"the·last·six·",16,0
"the·last·thing·",28,0
"the·last·two·",51,28
"the·late·",51,62
"the·latest·breaking·news·where·",15,296
"the·latest·breaking·news·where·you·live.·",15,296
"The·launch·",0,38
"the·launch·of·",85,198
"the·launch·of·",85,0
"the·leader·of·the·",55,0
"The·leading·",18,0
"the·Leave·",263,0
"the·Leave·campaign·",78,0
"The·letter·",82,40
"the·level·",120,50
"the·license·agreement·",0,22
"The·Liverpool·Daily·Post·&·",0,100
"the·lives·",51,106
"the·local·",210,186
"the·London·Stock·",39,0
"the·long-term·",91,76
"the·long·",187,56
"the·lower·",42,22
"The·man·had·",0,14
"the·man's·",0,48
"the·manufacturing·",41,0
"the·many·",114,54
"the·market.·",66,134
"the·market·",44,82
"the·market·is·",24,14
"the·maximum·",41,14
"the·meantime·",33,38
"the·meeting·",162,22
"the·member·states·",19,0
"the·men·",15,40
"the·Met·",16,22
"the·missing·item·and·your·name·and·address.·Texts·",0,26
"the·modern·",39,14
"the·money·",171,52
"the·motorcyclist·",0,34
"the·MP·for·",46,0
"the·name·",66,130
"The·National·",305,122
"the·natural·",22,28
"the·nature·of·",78,30
"the·nature·of·the·",33,16
"the·NDA·for·",0,24
"the·need·for·a·",58,16
"the·needs·",93,94
"the·needs·of·the·",27,14
"The·new·",181,290
"the·new·drug·",0,32
"The·News·Matrix·The·",0,78
"the·news·that·",32,44
"the·next·12·months.·",23,0
"the·next·day.·",0,14
"the·next·five·",62,28
"the·next·four·",0,16
"the·next·generation·of·",17,26
"the·next·two·",0,28
"the·NICE·Centre·",0,18
"the·night·",42,40
"the·Norfolk·",0,18
"the·Norfolk·and·",0,16
"the·North·",472,104
"the·North·and·",34,0
"the·number·of·",437,250
"the·number·of·bleeds·",0,14
"the·offer·",27,48
"the·Office·for·",102,0
"the·old·",103,42
"the·opposite·",62,36
"the·original·",78,90
"the·outset·",18,0
"the·outstanding·",0,36
"the·overall·",96,0
"The·overall·",0,20
"the·pace·of·",28,16
"the·pain·",18,0
"the·partnership·",14,20
"the·past·20·",0,28
"the·past·few·",55,24
"the·past·three·",23,24
"the·pending·",0,16
"the·perfect·",52,50
"the·Phase·IIb·",0,28
"the·planned·",31,26
"the·plans·",72,18
"the·plans·",0,18
"The·Plymouth·",28,44
"The·PM·was·",13,0
"the·police·",0,190
"the·populist·",13,0
"the·potential·benefits·of·",0,16
"the·potential·of·",31,174
"the·pound.·",68,0
"the·Premier·",0,18
"the·prestigious·",15,14
"The·price·",31,0
"the·price·of·",149,120
"the·prices·of·",13,24
"the·primary·",25,0
"the·primary·",0,290
"the·prime·minister.·",16,0
"the·prior·",0,42
"the·pro-Brexit·",44,0
"the·process·",31,0
"the·product·",0,20
"the·progress·of·",27,38
"the·project·",41,96
"the·promise·",43,0
"the·promise·of·",27,0
"The·property·has·",0,14
"the·proportion·",38,46
"the·proportion·of·",0,46
"the·proposal·",60,24
"The·proposal·",21,0
"the·prospect·of·",304,24
"the·public.·",56,34
"the·public·",38,14
"the·public·and·",40,20
"the·public·will·",19,0
"the·purpose·",22,26
"the·question·of·",85,0
"the·reason·",78,34
"the·recent·",198,104
"the·recently·",16,34
"the·recovery·",13,14
"the·red·",60,36
"the·referendum·campaign·",26,0
"the·region·",184,52
"the·region·is·",14,0
"the·regional·",31,22
"the·remainder·",28,38
"the·report.·",36,26
"the·Republic·of·",157,20
"the·residents·",16,22
"the·resources·",19,24
"the·resources·",19,0
"the·rest·",926,0
"the·result·",442,84
"the·results·",0,330
"the·return·",108,18
"the·role·",149,142
"the·role·of·",89,90
"the·ruling·",54,18
"the·run·",36,36
"The·Rye·and·Battle·Observer·-·always·the·",0,14
"The·safety·profile·of·",0,26
"the·same·day·",26,18
"the·same·time.·",13,16
"the·same·time·as·",34,0
"the·scope·",21,22
"The·Scottish·and·",28,0
"The·second·",49,0
"the·second·quarter·",0,98
"the·second·time·",18,14
"the·security·",57,0
"The·senior·",15,0
"the·sense·of·",18,0
"the·serious·",16,24
"the·shop·",0,88
"the·show·",64,28
"the·side·of·the·",21,0
"the·signs·",0,30
"the·single·",1723,0
"the·sixth·",21,22
"the·size·",129,56
"the·size·of·a·",0,26
"the·SNP.·",38,0
"the·sooner·",42,0
"the·South·East·",19,22
"the·spread·",14,14
"the·standard·",19,0
"the·start·",292,108
"the·start·of·",254,102
"the·start·of·the·",101,30
"the·status·of·",109,0
"the·story·",68,38
"the·strong·",54,42
"the·strongest·",61,14
"the·successful·",27,96
"The·Sun·",1136,1868
"The·Sunday·Times·",215,0
"The·survey·also·",26,0
"the·sustainability·",15,16
"the·terms·of·",331,580
"the·terms·of·the·",138,510
"the·third·quarter·",50,128
"the·third·quarter·of·",21,106
"the·third·quarter·of·2016.·",0,16
"the·time·and·who·",0,14
"The·Times·(London)·",820,824
"the·tip·",14,0
"The·top·",18,22
"the·Tory·party·",61,0
"The·total·",19,18
"the·total·",126,132
"the·treatment·of·adult·",0,90
"the·type·",58,36
"the·type·",0,36
"the·UK.·",1283,158
"the·UK·",1086,154
"the·UK·and·",98,30
"the·UK·and·EU·",18,0
"the·UK·government·has·",21,0
"The·UK·is·",86,0
"the·UK·to·",709,0
"the·UK·to·remain·in·the·",26,0
"the·UK·which·",46,0
"The·UK's·",28,0
"the·underlying·",24,0
"the·Union·",121,0
"the·unique·",42,0
"the·United·Kingdom·to·",21,0
"the·United·States·",71,76
"the·University·of·",132,206
"the·Upper·",13,0
"the·US·Food·and·Drug·Administration·for·",0,48
"the·value·of·",288,146
"the·vast·majority·",0,18
"the·very·",307,60
"the·virus·",0,22
"the·Vote·Leave·campaign·",18,0
"the·wake·",339,24
"the·wealth·",21,0
"THE·WEEK·",24,18
"the·week·",14,0
"the·welfare·",0,14
"The·Westmorland·Gazette·",0,46
"the·White·",113,30
"the·White·House·",37,18
"the·White·House·",0,18
"the·whole·",532,58
"the·wider·",0,46
"The·Wiltshire·Gazette·",14,14
"The·Wiltshire·Gazette·and·",14,14
"The·Wiltshire·Gazette·and·Herald·",14,14
"the·window·",18,36
"the·wishes·of·",58,0
"the·word·",142,0
"the·word·",0,28
"the·world.·",315,196
"the·world.·",49,0
"the·World·",133,140
"The·World·",0,24
"the·worst·",251,24
"Theatre·in·",0,30
"their·children·",36,22
"their·current·",31,14
"their·first·",51,24
"their·own·",529,142
"them·and·",112,44
"them·and·",0,44
"them·at·",30,28
"them·by·",30,16
"them·for·",48,32
"theme·of·",22,16
"themselves·and·",35,14
"then·I·",75,16
"then·we·",151,22
"Therapeutics·has·entered·",0,14
"therapy·to·",0,118
"there·and·",58,20
"there·are·more·",19,14
"there·had·",123,0
"There·has·",89,24
"There·is·a·",134,124
"There·is·no·",161,28
"there·is·still·",78,16
"There·was·",0,42
"There·were·",114,138
"There·will·also·",19,30
"there·will·not·be·",22,0
"There's·a·",34,30
"There's·a·",34,0
"Theresa·May·has·",371,0
"these·and·",13,18
"these·companies·",21,0
"These·new·",0,14
"these·people·",0,20
"these·products·",0,52
"they·are·",1451,376
"They·are·",264,138
"they·are·not·",96,22
"they·believe·",53,40
"they·believe·he·may·",0,14
"they·don't·miss·",15,300
"they·get·",62,16
"they·had·",299,112
"They·include·",24,0
"they·received·",0,40
"they·want·",16,0
"They·will·",122,38
"they·will·not·",59,0
"they·wish·",19,22
"they·would·",0,132
"they·would·be·",88,0
"they·would·like·to·speak·to·in·",0,14
"think·it·",305,0
"think·they·",109,30
"third·of·the·",25,16
"third·quarter·",75,156
"third·quarter·of·",24,114
"this·a·",26,18
"this·as·a·",0,22
"this·case·",23,50
"this·decision·",19,24
"this·has·",109,30
"this·incident·",0,22
"This·is·",938,476
"this·is·the·",102,36
"this·is·the·",102,0
"this·morning·",28,58
"this·morning·",73,272
"this·new·",62,176
"This·report·",0,16
"this·the·",55,30
"this·to·",106,36
"this·to·be·",22,14
"this·type·of·",15,56
"this·type·of·",0,56
"this·very·",22,14
"This·was·a·",17,14
"this·was·not·",23,0
"this·week's·",80,32
"this·week's·",80,0
"this·weekend·",33,18
"This·will·",0,18
"this·will·be·",72,0
"This·would·",0,16
"this·year.·",261,324
"this·year.·",0,22
"those·already·",18,0
"those·living·with·",0,38
"those·of·",0,58
"those·who·had·",18,0
"thought·to·have·",23,82
"thought·to·have·been·",0,32
"thousands·of·pounds·",0,20
"thrash·out·",41,0
"threat·to·",0,48
"threatened·by·",38,0
"three·bedrooms·",0,36
"three·years·",42,44
"through·this·",54,36
"through·to·",57,68
"thrown·into·",30,0
"Thursday·to·",18,18
"Thursday·to·",0,18
"tied·to·",0,20
"time·a·",19,18
"time·for·the·",84,30
"Time·Of·Request:·",38,54
"time·that·",86,54
"time·the·",144,42
"time·we·",16,14
"time·when·",153,58
"time·when·",153,0
"time·when·",0,58
"time·when·the·",34,0
"Times·(London)·",1001,892
"Times·(series)·",0,22
"times·more·",32,26
"Times·Newspapers·",1001,892
"Times·Newspapers·",0,892
"to·10·",29,36
"to·15·",18,16
"to·18·",16,22
"to·20·",30,0
"to·80088·followed·",0,84
"to·80088·followed·by·the·",0,74
"to·a·",14,0
"to·a·lack·",13,0
"to·a·number·of·",18,30
"to·a·report·",30,124
"to·a·report·of·",0,84
"to·a·top·price·",0,84
"to·a·woman·from·",0,14
"to·abide·",24,0
"to·abstain·",15,0
"to·accelerate·",21,136
"to·access·",93,120
"to·access·the·",24,24
"to·accuse·",19,0
"to·address·these·",0,14
"to·after·",0,22
"to·allow·",347,148
"to·allow·the·",73,24
"to·an·",0,452
"to·another·",0,36
"to·attend·",102,62
"to·attend·the·",0,16
"to·avoid·",570,128
"to·avoid·",570,0
"to·be·",8694,4256
"to·be·at·",52,20
"to·be·called·",13,18
"to·be·clear·",16,0
"to·be·considered·",18,0
"to·be·discussed·",14,0
"to·be·given·",52,22
"to·be·given·",52,0
"to·be·one·",41,40
"to·be·one·of·",29,30
"to·be·released·",18,0
"to·believe·that·",48,20
"to·benefit·",114,114
"to·benefit·",0,114
"to·better·",0,76
"to·bite·",14,0
"to·block·",244,40
"to·block·Brexit·",41,0
"to·both·the·",16,16
"to·bring·",360,394
"to·build·on·our·",0,16
"to·business·intelligence·provider·GBI·Research's·",0,24
"to·buy·a·",28,38
"to·call·police·on·101·",0,16
"to·call·the·",0,42
"to·call·West·Mercia·Police·on·101·quoting·",0,28
"to·carry·out·",62,60
"to·challenge·",76,0
"to·change·the·",74,30
"to·changes·",17,0
"to·check·",36,34
"to·choose·",78,30
"to·claim·",83,18
"to·clear·the·",0,36
"to·climb·",14,18
"to·come·",592,302
"to·come·forward·",20,58
"to·commit·",76,0
"to·compete·",64,34
"to·complete·its·",0,22
"to·comply·",42,28
"to·concerns·",20,0
"to·contact·police·on·101·",0,36
"to·contact·Sussex·Police·",0,16
"to·contribute·to·",21,32
"to·control·",106,68
"to·court·",24,0
"to·create·",319,246
"to·create·a·",123,84
"to·create·the·",18,14
"to·currency·",17,0
"to·defeat·",46,14
"to·deliver·",552,264
"to·disclose·",25,16
"to·discover·",24,88
"to·discover·",24,0
"to·discuss·the·",139,40
"to·do·",1554,272
"to·do·",19,0
"to·do·it.·",18,0
"to·double·",21,18
"to·each·",50,46
"to·each·",50,0
"to·enforce·",26,0
"to·engage·with·",47,20
"to·enhance·",32,0
"to·ensuring·",47,30
"to·enter·into·",15,28
"to·Europe·",32,0
"to·examine·",52,40
"to·examine·the·",20,32
"to·explore·",71,124
"to·explore·the·",18,42
"to·express·",67,18
"to·fall·",132,24
"to·fall·back·",15,0
"to·find·a·",122,80
"to·fit·",14,0
"to·fix·",37,16
"to·follow.·",13,48
"to·follow·",126,64
"to·follow·the·",28,14
"to·foster·",0,24
"to·four·",34,58
"to·fully·",46,54
"to·fund·",107,108
"to·get·on·",132,0
"to·give·a·",62,22
"to·go·",811,192
"to·guarantee·the·",51,0
"to·guide·",14,20
"to·hand·",72,24
"to·have·a·",427,154
"to·have·been·",131,210
"to·help·prevent·",0,14
"to·hide·",32,14
"to·highlight·",73,20
"to·him·",64,40
"to·hit·",0,42
"to·hold·a·",104,18
"to·honour·",44,18
"to·hospital·as·a·",0,16
"to·identify·the·man·in·",0,14
"to·imagine·",26,0
"to·import·",32,18
"to·import·",0,18
"to·include·",108,160
"to·include·the·",18,26
"to·increase·",0,258
"to·increased·",19,26
"to·introduce·",89,56
"to·judge·",17,0
"to·keep·us·",37,0
"to·launch·the·",14,26
"to·learn·",92,64
"to·leave·",2281,0
"to·leave·the·EU·",501,0
"to·leave·the·European·Union·and·",15,0
"to·leaving·the·",52,0
"to·less·",18,24
"to·look·",324,0
"to·lure·",25,0
"to·major·",0,16
"to·make·sure·that·",68,14
"to·mark·the·",48,20
"to·me.·",27,0
"to·medicines·",0,84
"to·meet·its·",16,28
"to·meet·with·",30,22
"to·monitor·",29,26
"to·negotiate·",372,36
"to·no·",34,16
"to·offer·a·",28,22
"to·one·",0,74
"to·one·in·",18,14
"to·one·of·the·",19,14
"to·open·",152,108
"to·or·",20,20
"to·our·economy·",31,0
"to·pay·a·",54,28
"to·placebo·",0,104
"to·play·a·",42,32
"to·predict·the·",15,0
"to·Prime·Minister·Theresa·",14,0
"to·protect·the·",132,28
"to·pursue·",94,72
"to·put·the·",88,14
"to·quit·the·EU.·",28,0
"to·quit·the·European·",23,0
"to·raise·",226,226
"to·rally·",19,0
"to·reach·",302,0
"to·reach·the·",18,0
"to·read·the·",21,0
"to·reassure·",113,20
"to·recover·",39,20
"to·reflect·",76,20
"to·reinforce·",17,14
"to·remain·",804,72
"to·remain·in·the·EU·",72,0
"to·remain·part·of·",41,0
"to·remove·the·",26,42
"to·repeal·",18,42
"to·require·",23,20
"to·rescue·the·",0,16
"to·resolve·the·",38,16
"to·reveal·",86,20
"to·Russia·",0,20
"to·save·",160,96
"to·say·",49,14
"to·scale·",21,0
"to·school·",16,16
"to·see·a·",143,28
"to·see·that·",64,18
"to·sell·its·",13,0
"to·set·up·",112,18
"to·show·that·",38,28
"to·show·the·",22,26
"to·solve·",58,20
"to·speed·",49,36
"to·stand·",215,30
"to·stay·",710,0
"to·stay·in·the·single·market·and·",18,0
"to·stimulate·",21,32
"to·such·",0,18
"to·supporting·",21,16
"to·switch·",0,30
"to·tackle·",157,108
"to·take·advantage·",60,0
"to·take·control·",39,0
"to·take·into·",17,14
"to·take·over·",43,14
"to·take·part·in·",48,26
"to·take·the·",127,48
"to·that·",210,62
"to·the·",13429,8532
"to·the·Bank·",18,0
"to·the·current·",22,32
"to·the·Editor·",116,32
"to·the·Editor·",0,32
"to·the·EU·in·",24,0
"to·the·impact·",21,0
"to·the·polls·",28,0
"to·the·Republic·",14,0
"to·the·Royal·",0,80
"to·the·Single·Market·",14,0
"to·this·",19,18
"to·this·",302,272
"to·three·",49,94
"to·transfer·",39,20
"to·travel·to·",38,14
"to·understand·",157,50
"to·understand·how·",19,14
"to·understand·how·",0,14
"to·US·",23,0
"to·use·",426,198
"to·wait·",102,30
"to·walk·",0,22
"to·warn·",66,14
"to·watch·",66,60
"to·week·",0,24
"to·what·",228,32
"to·win·a·",25,0
"to·win·the·",54,22
"to·win·the·",0,22
"to·withdraw·",103,22
"to·withstand·",20,0
"to·work·closely·",24,32
"to·WTO·",29,0
"today·for·",29,18
"today·in·",44,30
"today·said·",18,16
"today·to·",0,36
"today·we·",0,14
"together·to·",179,86
"together·to·",179,0
"told·by·",45,0
"told·him:·",13,14
"told·that·",79,32
"told·the·",980,164
"Tony·Blair.·",14,0
"too·much·",152,52
"too·often·",18,16
"took·part·in·",42,26
"tool·to·",20,22
"Top·Events;·",51,0
"Tory·leader·",14,0
"Tory·MEP·",32,0
"Tory·MP·",19,0
"total·number·",21,30
"touch·with·",63,52
"tour·of·",77,22
"towards·a·",171,44
"towards·the·",0,126
"trade·area·",34,0
"trade·deals·with·",153,0
"trade·negotiations.·",21,0
"Trade·Organisation·rules·",24,0
"trade·that·",16,0
"trading·on·Tuesday.·",0,14
"traffic·is·",0,20
"train·and·",0,16
"training·and·",32,0
"transition·to·",55,18
"travel·to·",0,24
"Treasury·Committee·",16,0
"Treasury·forecasts·",18,0
"Treasury·has·",17,0
"treat·multiple·",0,18
"treated·for·",0,180
"treated·patients·",0,16
"treatment·is·",0,82
"treatment·of·the·",14,26
"trial·to·",0,60
"trigger·a·",81,24
"trigger·Article·50.·",31,0
"Trinity·Mirror·",202,110
"trip·to·the·",18,14
"Trust·and·",19,0
"truth·is·that·",48,0
"Truvada·for·PrEP·",0,14
"Tuesday·with·lambs·selling·to·",0,14
"turned·out·",57,40
"turned·out·to·be·a·",0,24
"turned·up·",16,32
"two·days·",64,48
"two·distinct·",0,14
"two·in·",24,0
"two·major·",19,0
"two·weeks·",0,66
"two·years·",90,30
"type·1·",0,114
"type·2·diabetes·",0,300
"U100·in·",0,14
"UK·and·its·",14,0
"UK·banks·",25,0
"UK·business·",40,0
"UK·by·",34,0
"UK·economist·",15,0
"UK·economy.·",82,0
"UK·economy·",61,0
"UK·has·been·",32,0
"UK·in·",316,24
"UK·left·",28,0
"UK·patients·",0,22
"UK·the·",84,16
"UK·to·",790,14
"UK·Trade·",16,0
"UK·were·to·",21,0
"UK's·food·",16,0
"UK's·withdrawal·from·",54,0
"Ukip·and·",19,0
"uncertainty·following·the·",18,0
"uncertainty·over·the·",46,0
"under·the·terms·",17,20
"under·this·",17,20
"under·this·",0,20
"under·World·Trade·Organisation·",17,0
"underestimate·the·",17,0
"understands·the·",31,14
"understood·to·",106,58
"understood·to·have·",49,0
"Union·(Notification·",21,0
"Union·as·",35,0
"Union·for·",21,24
"Union·he·",18,0
"union·in·",38,0
"unique·and·",13,20
"University·and·",18,0
